barrio_codigo,barrio,zona_codigo,zona
01 02,Bellamar,01 02 0240,Ptge. Pg Muntanya 22 - Pl Brasilia
01 02,Bellamar,01 02 0241,Ptge. Pg Muntanya 36-34
01 02,Bellamar,01 02 0242,Ptge. P. Can Vinyes / P. de la Creu
01 02,Bellamar,01 02 0243,"Ptge. Avda. Bellamar, 40-42"
01 02,Bellamar,01 02 0244,"Ptge. Pg de la Creu, 39-41 / Pg Bellavista, 135-137"
01 02,Bellamar,01 02 0245,"Ptge. Pg Bellavista, 151-153 a Pl de la Creu"
01 02,Bellamar,01 02 0246,"Ptge. Pg Bellavista, 147-149 (Granada de l'Ènric)"
01 02,Bellamar,01 02 0247,"Ptge. Av Bellamar, 64-66 (Pg Bellavista, 164-166)"
01 02,Bellamar,01 02 0248,"Ptge. Av Bellamar, 74"
01 02,Bellamar,01 02 0249,"Ptge. Pg Can Solé, 24"
01 02,Bellamar,01 02 0250,Ptge. Pg Sant Salvador
01 02,Bellamar,01 02 0251,"Ptge. Pg del Parc Forestal, 10-12"
01 02,Bellamar,01 02 0252,Ptge. del Pi
01 02,Bellamar,01 02 0253,Ptge. Torremoruna
01 02,Bellamar,01 02 0254,"Ptge. Pg de la Muntanya 7-9 / Pg de l'Olivera, 1-3"
01 02,Bellamar,01 02 0255,"Ptge. Valle Inclán, 9-11"
01 02,Bellamar,01 02 0256,"Ptge. Miramar, 65-67 (cap a 328)"
01 02,Bellamar,01 02 0257,"Ptge. Pg Miramar, 56 - Pg Bosc"
01 02,Bellamar,01 02 0258,"Ptge. Pg del Munt, 10 - Av 343, 13"
01 02,Bellamar,01 02 0259,"Ptge. Pg Can Vinyes, 28 - Pg Ronda, 13"
01 02,Bellamar,01 02 0260,"Ptge. Pg de la Creu, 24-22B"
01 02,Bellamar,01 02 0261,Franjas - Bellamar
01 02,Bellamar,01 02 0262,Solars Forestals - Bellamar
01 03,Montemar,01 03 0300,Montemar General
01 03,Montemar,01 03 0301,Parc Circunval·lació - Pg. Del Bosc
01 03,Montemar,01 03 0302,"Pl. Bosc, 3"
01 03,Montemar,01 03 0303,Pl. Mas Jové
01 03,Montemar,01 03 0304,Ramal de la Rivera
01 03,Montemar,01 03 0305,Av. 303
01 03,Montemar,01 03 0306,Parterre Av. Diagonal - Av. 301
01 03,Montemar,01 03 0307,Pl. Sant Jaume
01 03,Montemar,01 03 0308,Pl. del Mont
01 03,Montemar,01 03 0309,Solars Av. 309 - Av. 319
01 03,Montemar,01 03 0310,Av. 320 tanca pitsopor con Av. 323
01 03,Montemar,01 03 0311,Parquing Av. Malaga / Constitució
01 03,Montemar,01 03 0312,Jardins c/ de la Font
01 03,Montemar,01 03 0313,Av. 303 - Av Diagonal
01 03,Montemar,01 03 0314,c/ de la Font
01 03,Montemar,01 03 0315,Av. Diagonal - Av. 319 palmito
01 03,Montemar,01 03 0316,Parterre Pg. Circunval·lació - Av. 330
01 03,Montemar,01 03 0317,c/ Dolores Ibarruri
01 03,Montemar,01 03 0318,Parterre Av. 320 - Av. 318 (ET)
01 03,Montemar,01 03 0319,Rotonda Can Aimerich
01 03,Montemar,01 03 0320,Solar c/ Aizina - c/ Avellaner
01 03,Montemar,01 03 0321,Mur Av. Constitució - Av. 305
01 03,Montemar,01 03 0322,Escola Guinovart
01 03,Montemar,01 03 0323,Llar d'infants Ca n'Aimeric
01 03,Montemar,01 03 0324,Av. Constitució de 286 fins 294
01 03,Montemar,01 03 0325,Av. 301
01 03,Montemar,01 03 0326,Av. 305
01 03,Montemar,01 03 0327,Av. 350
01 03,Montemar,01 03 0328,Av. 341
01 03,Montemar,01 03 0329,Av. 300
01 03,Montemar,01 03 0330,Solar Av. Constitució - Av. 302
01 03,Montemar,01 03 0331,"Parterre Av. 309, 57"
01 03,Montemar,01 03 0332,Av. 302
01 03,Montemar,01 03 0335,Perímetre Llar d'Infants Ca n'Aimeric
01 03,Montemar,01 03 0337,Entrada Llar d'Infant Ca n'Aimeric
01 03,Montemar,01 03 0338,Camí Fondo Ca n'Aimeric
01 03,Montemar,01 03 0339,Av. Diagonal
01 03,Montemar,01 03 0340,Av. 309
01 03,Montemar,01 03 0341,Av. 307
01 03,Montemar,01 03 0342,Av. 324
01 03,Montemar,01 03 0343,Av. 319
01 03,Montemar,01 03 0344,Av. 320
01 03,Montemar,01 03 0345,Av. 312
01 03,Montemar,01 03 0346,Av. 306
01 03,Montemar,01 03 0347,Parc Marta Mata
01 03,Montemar,01 03 0348,Parterre escales c/ Dolores Ibarruri
01 03,Montemar,01 03 0349,Escola de dansa
01 03,Montemar,01 03 0350,Av. 308
01 03,Montemar,01 03 0351,Solar perimetral Escola Guinovart i Institut Valèria Haliné
01 03,Montemar,01 03 0353,Av. 311
01 03,Montemar,01 03 0354,"Parterres c/ de la Font, 52"
01 03,Montemar,01 03 0355,Basa Laminació c/ Font
01 03,Montemar,01 03 0356,Ptge. Pg Miramar 12-14 a Pg Bosc
01 03,Montemar,01 03 0357,Ptge. Avda. 321
01 03,Montemar,01 03 0358,Ptge. Avda. 322
01 03,Montemar,01 03 0359,Ptge. Avda. 326 (Diagonal a Avda. 323)
01 03,Montemar,01 03 0360,Ptge. Avda. 326 (entre Avda. 323 i 325)
01 03,Montemar,01 03 0361,Ptge. entre Pg bosc i P. Miramar (Pg Miramar 2-4)
01 03,Montemar,01 03 0362,Ptge. Avda. 350 / Avda. 324
01 03,Montemar,01 03 0363,Ptge. Av. 301 / 302 / Circunvalació
01 03,Montemar,01 03 0364,Ptge. Pg. Petunia / Av. 336
01 03,Montemar,01 03 0365,"Ptge. Pg. Bellavista, 90-92 - Av. 339, 24-26"
01 03,Montemar,01 03 0366,"Ptge. Av. 343, 14 - Av. 337, 27"
01 03,Montemar,01 03 0367,"Ptge. Av. 343, 10 - Av. 337, 23-25"
01 03,Montemar,01 03 0368,Ptge. Pg. Miramar - Pg. Bellavista (Pg Bellavista 40-42)
01 03,Montemar,01 03 0369,Franjas - Montemar
01 03,Montemar,01 03 0370,Solars Forestals - Montemar
01 04,Can Roca,01 04 0400,Can Roca General
01 04,Can Roca,01 04 0401,Pl. Can Roca
01 04,Can Roca,01 04 0402,Picnic Can Roca
01 04,Can Roca,01 04 0403,Parc de la Granota
01 04,Can Roca,01 04 0404,Vivero
01 04,Can Roca,01 04 0405,Cal Ganxo
01 04,Can Roca,01 04 0406,Jardí Masia
01 04,Can Roca,01 04 0407,c/ Heura
01 04,Can Roca,01 04 0408,c/ Montseny
01 04,Can Roca,01 04 0409,c/ Julivert
01 04,Can Roca,01 04 0410,Parterre Ptge. Boix
01 04,Can Roca,01 04 0412,La Guaita
01 04,Can Roca,01 04 0413,Entrada Inferior Polideportivo Can Roca
01 04,Can Roca,01 04 0414,Entrada Superior Polideportivo Can Roca
01 04,Can Roca,01 04 0415,Ptge. Cal Ganxo
01 04,Can Roca,01 04 0416,c/ de Can Roca
01 04,Can Roca,01 04 0417,Escola Can Roca
01 04,Can Roca,01 04 0418,Escola Torre Barona
01 04,Can Roca,01 04 0420,Parterres c/ Saltze
01 04,Can Roca,01 04 0421,Parterres-Ptge. Espigol
01 04,Can Roca,01 04 0422,c/ Faig
01 04,Can Roca,01 04 0423,"Petancas Can Roca c/ Can Roca, 2"
01 04,Can Roca,01 04 0424,Solar Luis Companys
01 04,Can Roca,01 04 0425,c/ Castanyer
01 04,Can Roca,01 04 0426,Parterre c/ Dr. Fleming - c/ Castanyer
01 04,Can Roca,01 04 0427,"c/ Dr. Trueta, 66 (Talud)"
01 04,Can Roca,01 04 0430,Ctra. La Sentiu
01 04,Can Roca,01 04 0431,Jardí SAC-JARFELS
01 04,Can Roca,01 04 0432,Rotonda Ctra. de la Sentiu - Lola Anglada
01 04,Can Roca,01 04 0433,Pàrking c/ Doctor Trueta
01 04,Can Roca,01 04 0434,Mirador Cal Ganxo
01 04,Can Roca,01 04 0435,Rotonda Ctra. Sentiu - c/ Can Roca
01 04,Can Roca,01 04 0437,Deixalleria
01 04,Can Roca,01 04 0438,Cubierta Vegetal de oficinas SAC-JARFELS
01 04,Can Roca,01 04 0439,Jardineras oficina SAC-JARFELS
01 04,Can Roca,01 04 0440,"Ptge. C/ Xiprers, 9-11"
01 04,Can Roca,01 04 0441,Llar d'Infants Muntanyeta
01 04,Can Roca,01 04 0442,Solars darrera Llar Infants Muntanyeta
01 04,Can Roca,01 04 0443,Franjas - Can Roca
01 04,Can Roca,01 04 0444,Solars Forestals - Can Roca
01 05,Vista Alegre,01 05 0500,Vista Alegre General
01 05,Vista Alegre,01 05 0501,Pl. Córdoba
01 05,Vista Alegre,01 05 0502,Pl. Giralda
01 05,Vista Alegre,01 05 0503,Pl. Agustina de Aragón - Dr. Marañón (Boquerón)
01 05,Vista Alegre,01 05 0504,Pl. Antonio Machado
01 05,Vista Alegre,01 05 0505,Pl. Andalucía
01 05,Vista Alegre,01 05 0506,Aparcament c/ Ramon y Cajal
01 05,Vista Alegre,01 05 0508,c/ Huelva
01 05,Vista Alegre,01 05 0509,Pl. de l'Alba
01 05,Vista Alegre,01 05 0510,Jardins c/ Can Vinader
01 05,Vista Alegre,01 05 0512,Pl. Democracia
01 05,Vista Alegre,01 05 0513,c/ Rafael Casanovas
01 05,Vista Alegre,01 05 0514,Petanca Can Vinader (Pl. Burro)
